ID,Name,SpType,[Fe/H],e[Fe/H],A(Li),eA(Li),Teff_K,eTeff_K,vsini,Age_Ga,eAge_Ga,M_Msol,eM_Msol,logRHK,elogRHK,Prot_d,R_Rsol,N_planets,sum_Mp,Porb_d,a_au,e,logOD,Pl,Nbr.
CD-60 1611,CD-60 1611  ,K,-0.09,0.06,0.09,,4914,84,,4.31,3.966,0.759,0.024,,,17.658501,0.824,,,,,,,N,
CD-69 1711,CD-69 1711  ,K7,-0.04,0.1,0.31,,5160,156,,4.661,4.162,0.847,0.031,,,,0.883,,,,,,,N,
CD-74 1437,CD-74 1437  ,M0,-0.24,0.06,0.14,,,,,,,,,,,,0.84,,,,,,,N,
CoRoT-1,CoRoT-1  ,G0V,0.03,0.04,2.77,,5908,56,4.74,6.459,1.036,1.072,0.026,,,,1.35,1,1.03,1.5089557,0.0254,0,-2.7025119,Y,1
CoRoT-4,CoRoT-4  ,F0V,0.15,0.06,2.43,,5898,0,6.4,,,,,,,,1.18,1,0.72,9.20205,0.09,0,,Y,1
CoRoT-5,CoRoT-5  ,F9V,0.04,0.05,2.88,,5808,216,3.82,5.338,3.724,1.059,0.056,,,,1.28,1,0.467,4.0378962,0.04947,0.09,-0.4050952,Y,1
CPD-62 267,CPD-62 267  ,G5,-0.15,0.1,0.02,,5230,75,,4.646,3.972,0.819,0.03,,,,0.813,,,,,,,N,
CPD-82 899,CPD-82 899  ,K5,-0.1,0.1,0.39,,4983,78,,4.484,3.922,0.784,0.026,,,,0.8,,,,,,,N,
G 270-111,G 270-111  ,K3V,-0.41,0.1,,,4704,61,,4.266,3.936,0.648,0.017,,,,0.709,,,,,,,N,
GJ 785,HD 192310  ,K2+V,0.05,0.02,0.12,,5091,84,4.35,4.061,3.638,0.832,0.023,-4.9668,1.08,,0.915,2,0.1292,74.72,0.32,0.13,6.0940639,Y,2
HAT-P-1,BD+37 4734B  ,G0V,0.21,0.03,1.77,,5957,171,3.75,3.708,1.787,1.22,0.048,,,,1.3,1,0.525,4.46529976,0.05561,0.067,-0.1363539,Y,1
HAT-P-30,BD+06 1909  ,G0,0.12,0.03,3.1,,6318,196,2.2,1.611,1.304,1.253,0.039,,,,1.329,1,0.711,2.810595,0.0419,0.035,-1.1562892,Y,1
HAT-P-35,HAT-P-35  ,,0.12,0.03,2.67,,6288,366,0.5,1.988,1.323,1.375,0.049,,,,1.3,1,1.054,3.646706,0.0498,0.025,-0.6816370,Y,1
HAT-P-6,HAT-P-6  ,F8V,-0.02,0.03,1.9,,6528,213,8.9,1.703,1.1,1.322,0.043,,,,1.61,1,1.33,3.853003,0.05235,0,-1.1890233,Y,1
HAT-P-7,BD+47 2846  ,F6V,0.31,0.07,3.29,,6424,245,5,1.549,0.704,1.522,0.024,,,19.6,1.995,1,1.741,2.204735471,0.0379,0,-2.6589861,Y,1
HAT-P-8,HAT-P-8  ,F8V,0.07,0.04,3.02,,6002,121,10.94,4.637,1.301,1.166,0.042,,,,1.58,1,1.34,3.0763402,0.0449,0,-1.7205019,Y,1
HD10002,HD 10002  ,K1V,0.19,0.02,0.45,,5295,62,2,4.838,3.922,0.908,0.034,-5.108860261745,0.025658650445,,0.965,,,,,,,N,
HD10008,V* EX Cet  ,G5,0,0.03,2.25,,5303,72,2.1,3.114,2.973,0.861,0.025,-4.43184948894,0,11,0.838,,,,,,,N,
HD100180,* 88 Leo  ,G2/3V,-0.02,0.03,2.51,0.1,6060,108,3.3,2.54,2.199,1.051,0.043,-4.628384489495,0.0287807336250001,14,1.11,,,,,,,N,
HD100289,HD 100289  ,G8/K0V,0.04,0.05,0.31,,5475,72,1.8,4.958,3.897,0.917,0.039,,,,0.975,,,,,,,N,
HD100508,HD 100508  ,K1 IV,0.39,0.05,0.55,,5389,92,2.305,4.56,3.717,0.968,0.034,-5.262131910105,-0.158536600455,,1.025,,,,,,,N,
HD100623,HD 100623  ,G2/3V,-0.37,0.03,1.36,0.05,5303,94,4,3.586,3.411,0.753,0.02,-5.04821388874,0.17325381649,27.1518,0.743,,,,,,,N,
